,Parents' Occupation,Child's Nursery,Form of the family,Children,Housing condition,Finance standing,Social condition,Health condition,Final Evaluation
78,1,0,2,2,2,1,2,0,0
79,1,1,2,1,0,0,1,0,0
80,2,0,0,1,1,1,0,2,4
81,0,4,0,0,2,1,1,2,3
82,2,0,1,2,0,1,0,0,0
83,2,4,1,2,1,1,0,0,0
84,0,0,1,1,1,1,1,2,4
85,1,2,1,0,0,0,2,0,0
86,1,3,1,3,0,1,2,2,3
87,2,3,0,2,2,1,1,2,3
88,2,0,2,3,1,1,2,1,4
89,2,3,2,0,2,0,0,2,3
90,2,4,2,0,1,0,0,2,3
91,1,1,0,2,2,0,2,2,4
92,0,1,1,0,0,0,2,2,4
93,1,4,0,2,2,0,0,1,3
94,1,4,1,0,2,1,1,0,0
95,2,4,0,2,0,1,0,1,3
96,2,0,1,0,0,1,1,1,4
97,0,4,2,1,2,0,1,0,0
98,0,3,1,0,0,1,2,2,4
99,1,1,2,3,2,1,2,1,3
100,0,2,2,1,0,1,0,1,4
101,2,1,0,1,0,0,2,1,3
102,0,3,2,0,1,1,1,2,4
103,2,1,2,3,0,1,0,0,0
104,2,0,1,2,0,1,2,1,4
105,2,4,0,3,2,1,1,1,2
106,0,2,2,1,2,1,0,2,3
107,2,0,2,3,2,1,0,2,4
108,1,0,1,1,0,0,2,0,0
109,1,4,1,2,2,1,2,1,2
110,1,0,2,0,1,1,2,1,4
111,1,3,2,0,0,1,0,2,3
112,1,4,0,0,0,1,1,0,0
113,1,1,1,1,1,0,1,2,4
114,1,2,2,0,1,1,1,2,4
115,0,0,1,0,2,0,1,2,4
116,2,0,2,3,0,1,0,0,0
117,2,4,2,0,1,0,0,2,3
118,0,0,1,3,0,1,0,1,4
119,0,1,2,1,1,0,1,0,0
120,1,2,0,1,1,1,1,2,3
121,2,2,1,3,0,1,2,0,0
122,2,2,2,0,2,0,2,2,3
123,2,1,0,3,0,1,1,2,4
124,2,3,1,2,0,1,2,2,3
125,2,4,0,1,2,0,2,1,2
126,0,0,0,2,0,0,1,0,0
127,2,4,2,2,1,1,1,0,0
128,1,1,1,0,2,1,0,2,4
129,1,0,0,0,0,0,0,1,4
130,0,4,2,1,1,0,1,2,3
131,2,2,0,1,1,0,0,2,3
132,2,1,2,0,2,1,2,1,3
133,2,3,0,3,0,0,1,0,0
134,1,1,1,3,0,1,0,0,0
135,1,1,2,0,1,1,1,0,0
136,0,4,1,3,1,0,1,1,3
137,2,4,1,2,2,1,2,1,2
139,0,4,1,0,1,0,0,2,4
140,1,0,2,2,0,1,0,2,4
141,2,4,0,2,2,0,2,0,0
142,1,0,0,0,2,0,0,2,4
143,2,3,2,3,0,0,2,2,3
144,1,4,1,1,0,1,2,1,3
145,2,3,2,3,0,1,2,0,0
146,0,3,0,1,2,1,0,2,3
147,0,1,0,1,0,0,0,0,0
148,0,3,1,1,0,1,0,0,0
149,2,3,1,0,2,0,1,1,3
150,0,2,2,0,1,0,1,1,4
151,1,2,2,1,2,1,1,0,0
152,1,4,2,1,1,1,2,2,3
153,2,1,2,2,0,1,2,0,0
154,0,3,1,3,2,0,2,2,4
155,0,2,2,1,2,0,0,2,4
156,1,3,1,0,1,1,0,0,0
157,1,0,0,3,0,1,2,2,4
158,1,3,2,2,0,1,0,1,3
159,1,4,2,2,1,0,1,1,2
160,0,1,0,2,0,1,0,2,4
161,1,4,2,0,2,0,2,1,3
162,0,1,2,2,1,1,0,0,0
163,1,1,2,1,1,1,0,0,0
164,2,2,1,2,1,1,1,2,3
165,2,3,1,0,1,0,1,1,3
166,2,1,2,2,1,1,1,2,3
167,1,3,2,1,1,0,2,1,2
168,0,1,2,2,2,1,2,0,0
169,0,3,1,1,1,1,1,1,3
170,2,4,1,0,0,1,2,2,3
171,2,3,2,3,1,0,1,0,0
172,2,0,2,3,2,0,0,0,0
173,2,2,1,1,1,1,2,2,3
174,1,1,2,0,0,1,0,1,4
175,0,2,2,2,0,0,1,2,4
176,1,1,2,2,2,1,2,2,4
177,1,1,2,2,1,0,0,2,4
178,2,1,1,2,2,0,0,0,0
179,1,2,0,3,1,0,2,0,0
180,1,0,0,1,2,1,0,1,4
181,0,4,2,0,1,0,0,0,0
182,0,4,0,0,0,0,0,0,0
183,2,3,1,0,2,0,0,2,3
184,0,3,0,3,2,1,1,1,3
185,0,0,1,1,1,0,2,1,4
186,1,2,2,3,1,0,2,0,0
187,1,4,2,2,1,0,1,2,3
188,2,3,0,1,1,0,2,2,3
189,2,2,2,0,0,0,1,2,3
190,1,2,0,2,0,0,1,2,4
191,0,2,1,2,1,0,2,0,0
192,2,1,0,3,1,0,1,1,3
193,2,1,2,1,0,1,0,2,3
194,2,0,2,0,0,1,0,0,0
195,0,0,1,0,1,1,1,1,4
196,1,0,1,2,1,0,1,1,4
197,0,0,2,3,2,1,0,2,4
198,2,4,0,2,1,1,1,0,0
199,1,0,1,1,2,0,1,0,0
200,1,2,1,1,2,0,1,0,0
201,1,1,2,0,1,0,0,0,0
202,2,4,1,3,1,0,0,2,3
203,2,1,2,1,1,1,1,0,0
205,2,2,2,0,1,1,1,0,0
206,2,1,2,2,2,1,2,0,0
207,1,0,2,0,1,1,2,0,0
208,2,1,2,3,1,0,1,1,3
209,1,3,2,1,1,1,0,2,3
210,1,4,1,3,1,0,0,2,3
211,1,3,1,3,1,1,0,2,3
212,0,0,2,1,2,0,1,0,0
213,2,1,2,0,1,0,0,1,4
214,1,0,2,2,2,0,1,1,3
215,0,2,0,2,1,0,0,0,0
216,2,1,2,3,0,0,1,1,3
217,1,0,2,0,1,1,0,2,4
218,2,0,2,1,2,1,1,1,3
219,1,1,2,0,0,0,0,2,4
220,2,1,2,1,1,0,1,2,3
221,2,1,2,2,0,0,0,0,0
222,0,0,2,1,0,1,2,2,4
223,0,4,2,3,0,0,1,1,3
224,1,4,2,1,1,0,2,1,2
225,0,4,1,2,2,1,1,1,3
226,1,1,1,1,2,0,0,1,4
227,2,1,2,0,2,0,2,0,0
228,2,2,2,1,2,1,1,0,0
229,2,1,1,3,0,1,1,2,4
230,2,4,0,2,0,0,2,2,3
231,1,3,0,2,2,1,2,2,3
232,2,1,2,1,0,0,1,0,0
233,1,3,2,3,2,0,2,1,3
234,0,3,2,1,1,0,1,1,3
235,0,0,2,3,2,1,1,0,0
236,1,0,0,3,2,1,0,0,0
237,2,4,2,2,0,1,2,1,3
238,2,2,2,3,1,0,0,1,3
239,0,4,2,3,2,1,1,2,3
240,2,4,2,0,2,0,2,2,3
241,0,2,2,1,1,0,0,2,4
242,0,0,1,1,2,0,0,1,4
243,1,4,2,1,1,1,2,2,3
244,1,2,1,0,1,1,2,0,0
245,1,2,2,0,2,1,1,2,3
246,0,4,2,1,1,0,0,2,3
247,1,1,2,1,0,0,1,1,3
248,1,2,2,3,1,0,1,1,3
249,2,3,2,0,1,0,2,0,0
250,1,3,1,2,1,0,2,0,0
251,1,0,2,0,1,1,0,1,4
252,1,1,2,0,2,0,2,0,0
253,2,1,1,3,0,0,0,0,0
254,2,1,1,0,1,1,0,0,0
255,2,0,1,2,1,1,0,0,0
256,1,3,2,1,2,1,0,1,3
257,0,0,0,0,1,0,1,0,0
258,1,1,0,2,2,1,2,2,4
259,0,4,2,0,0,1,0,2,4
260,2,2,0,3,1,0,2,1,3
261,2,4,2,3,0,1,1,2,3
262,0,2,2,2,0,0,0,0,0
263,2,2,1,0,1,0,0,2,3
264,2,1,1,1,0,0,2,1,3
265,1,1,0,3,1,0,2,0,0
266,1,1,0,2,2,0,1,0,0
267,2,1,0,1,0,0,1,0,0
268,0,1,2,0,1,1,1,0,0
269,2,0,0,2,0,1,1,1,4
270,0,3,1,0,2,1,1,2,3
271,0,3,2,0,2,1,0,1,3
272,2,2,1,1,1,0,0,1,3
274,1,0,1,1,0,1,0,0,0
275,2,4,1,2,1,0,1,0,0
276,1,3,0,0,0,1,1,1,3
277,2,4,2,3,1,0,1,0,0
278,2,3,0,0,0,0,2,2,3
279,2,1,1,2,2,0,1,0,0
280,0,4,0,2,0,0,1,0,0
281,2,4,2,3,0,0,2,0,0
282,0,4,1,1,1,0,0,1,4
283,0,0,2,3,2,1,1,0,0
284,0,0,2,2,2,0,0,0,0
285,2,2,2,3,0,0,2,1,3
286,2,3,2,3,0,1,2,1,3
287,0,3,2,3,2,0,2,0,0
288,2,4,1,1,2,1,2,2,3
289,1,3,0,2,1,1,2,0,0
290,0,1,1,3,2,0,0,2,4
291,1,1,2,2,0,0,2,0,0
292,0,0,0,3,2,0,0,1,4
293,1,0,2,3,1,0,2,1,4
294,0,2,2,1,2,1,2,2,3
295,1,3,2,2,0,1,1,1,3
296,2,4,1,3,0,1,0,1,3
297,2,0,2,3,2,0,1,2,4
298,0,4,0,1,0,1,0,0,0
299,0,0,2,0,2,0,0,2,4
300,1,3,2,1,0,0,1,1,2
301,1,4,0,0,2,0,2,2,3
302,1,2,1,3,0,0,0,1,4
303,0,4,2,1,2,1,1,0,0
304,0,2,1,0,2,1,1,2,4
305,1,1,2,0,1,0,2,1,4
306,1,2,2,1,1,0,2,0,0
307,1,2,1,1,1,1,1,2,4
308,1,2,1,3,1,0,2,1,3
309,0,2,2,0,0,1,0,0,0
310,1,2,0,1,1,1,0,1,3
311,0,3,0,1,0,0,2,0,0
312,0,1,2,1,0,1,0,0,0
313,2,3,0,1,2,1,1,2,3
314,1,2,0,2,1,1,2,2,4
315,2,2,2,2,1,0,1,2,3
316,0,2,2,1,1,1,1,0,0
317,1,3,0,0,1,1,2,0,0
318,0,0,2,0,2,1,0,1,4
319,1,4,1,3,1,1,0,2,3
320,2,0,0,3,2,0,2,0,0
321,2,3,2,0,1,0,0,1,3
322,2,2,2,0,2,1,0,2,3
323,2,0,2,2,0,1,2,1,4
324,0,4,2,3,2,0,2,0,0
325,1,0,0,2,1,1,1,1,4
326,2,0,2,3,2,1,1,0,0
327,1,2,2,0,1,1,1,1,3
328,0,4,0,2,1,1,1,2,4
329,2,2,0,2,2,1,0,1,3
330,0,3,2,3,1,1,2,1,3
331,0,0,2,1,1,1,1,1,3
332,2,0,2,1,1,0,2,1,3
333,1,4,0,2,0,1,0,0,0
334,2,2,2,0,2,0,0,2,3
335,2,0,1,0,0,1,1,0,0
336,1,4,1,0,0,1,2,2,3
337,0,1,2,0,1,1,0,2,4
338,0,2,2,1,1,1,1,2,4
339,2,1,2,0,1,1,0,0,0
340,1,3,0,3,0,0,0,0,0
341,2,0,1,1,0,0,0,2,4
342,1,2,2,1,2,1,2,2,3
343,2,2,2,3,0,0,2,2,3
344,2,0,0,0,0,1,1,2,4
345,2,1,1,0,1,1,2,1,3
346,2,0,0,0,0,0,1,2,4
347,2,2,1,3,2,0,0,0,0
348,1,0,2,2,1,1,1,0,0
349,1,4,2,1,0,1,2,2,3
350,2,4,1,0,1,0,2,2,3
351,1,1,1,2,0,0,0,1,4
352,2,2,2,2,1,1,1,1,2
353,2,4,2,2,0,0,1,0,0
354,0,2,1,2,0,1,0,1,4
355,1,3,1,3,2,1,2,2,3
356,0,4,1,3,0,0,1,0,0
357,1,1,0,1,2,1,1,1,3
358,0,1,0,3,1,0,1,1,4
359,1,2,2,3,1,1,1,2,4
360,1,2,2,3,0,1,0,1,4
361,0,0,2,0,1,1,1,0,0
362,1,2,2,0,0,1,0,2,4
363,2,2,2,1,0,1,2,0,0
364,2,1,1,0,2,0,2,1,3
365,2,2,2,3,1,1,2,0,0
366,2,4,2,0,2,1,1,0,0
367,2,2,0,0,1,0,2,0,0
368,1,1,2,2,2,0,0,2,4
370,2,4,2,2,1,1,1,1,2
371,2,2,0,1,0,0,0,2,3
372,1,3,1,1,1,0,0,1,3
373,2,3,0,3,1,0,2,1,3
374,1,0,2,1,0,0,1,2,4
375,1,1,2,3,2,1,0,2,4
376,0,2,1,2,1,0,2,2,4
377,0,4,0,0,2,0,0,2,4
378,0,1,2,0,2,0,1,0,0
379,0,3,2,1,0,1,1,0,0
380,0,3,1,3,1,0,0,1,4
381,1,2,2,3,1,0,2,2,4
382,2,3,2,1,1,1,0,2,3
383,1,1,2,3,0,1,0,1,4
384,1,4,2,3,0,0,0,0,0
385,2,3,2,2,1,1,0,2,3
386,1,0,2,3,0,1,0,1,4
387,0,1,2,1,1,1,2,2,4
388,1,0,0,0,0,0,2,0,0
389,0,1,1,1,1,1,0,2,4
390,2,3,1,3,1,0,1,1,3
391,0,4,0,3,2,0,0,2,4
392,2,1,2,3,1,0,2,0,0
393,2,1,2,3,0,0,1,0,0
394,1,0,2,0,2,0,1,1,4
395,2,4,0,3,0,0,0,2,3
396,1,1,1,2,1,0,0,1,4
397,0,0,1,2,0,0,1,0,0
398,0,3,2,1,0,0,0,0,0
399,1,1,0,3,1,1,0,1,4
400,1,1,0,3,0,0,0,1,4
401,0,1,2,3,1,0,2,0,0
402,1,3,1,2,2,0,0,1,3
403,1,2,2,3,0,1,0,2,4
404,1,0,2,1,0,0,0,2,4
405,2,1,1,1,0,1,1,2,4
406,1,0,0,1,0,1,0,1,4
408,2,1,2,1,2,0,2,1,3
409,1,3,1,2,2,0,0,2,3
410,0,2,1,2,0,1,1,0,0
411,0,0,2,0,2,0,1,1,4
412,0,2,0,1,0,1,0,1,4
413,2,0,2,0,2,1,0,2,4
414,2,2,0,2,0,0,1,2,3
415,0,2,1,1,0,1,1,1,4
416,0,3,0,2,2,1,2,2,3
417,0,1,0,3,0,0,0,1,4
418,0,1,2,0,2,1,1,1,3
419,0,0,0,2,1,1,1,0,0
420,2,1,2,3,0,0,1,1,3
421,2,0,1,3,1,0,2,1,4
422,1,2,2,0,1,0,0,0,0
423,0,1,1,3,1,1,2,0,0
424,2,2,0,1,1,0,2,1,2
425,0,3,2,0,1,1,1,1,3
426,1,4,0,2,0,0,2,0,0
427,1,4,2,3,2,0,1,2,3
428,2,4,2,3,2,1,1,1,2
429,1,3,2,2,0,0,0,2,3
430,1,4,2,2,1,0,0,2,3
431,2,1,2,0,0,1,2,0,0
432,2,2,2,2,0,0,0,0,0
433,1,0,2,2,2,1,1,1,3
434,2,0,2,2,1,0,2,2,4
435,2,0,2,2,1,1,2,0,0
436,0,3,2,3,1,1,0,0,0
437,1,3,0,2,1,1,0,0,0
438,1,0,2,2,0,0,1,0,0
439,0,2,2,2,2,0,2,0,0
440,0,4,0,3,1,1,1,0,0
441,1,0,2,3,0,0,1,1,4
442,0,4,1,0,1,1,1,2,4
443,2,1,2,2,1,0,0,1,3
444,0,3,1,3,0,0,2,2,4
446,2,3,0,3,0,1,2,2,3
447,0,2,0,3,1,0,0,2,4
448,1,0,0,0,1,0,2,2,4
449,2,2,0,1,1,0,1,0,0
450,0,0,1,0,2,1,2,2,4
451,0,3,0,0,0,0,0,2,4
452,1,3,2,0,2,1,2,2,3
453,2,1,1,3,0,0,1,2,4
454,0,2,2,1,2,1,2,0,0
456,2,3,2,1,2,1,1,1,2
457,0,2,0,2,0,0,0,1,4
458,2,4,2,3,2,0,0,0,0
459,2,1,2,0,2,1,2,0,0
460,2,3,2,0,1,1,2,2,3
461,2,1,1,0,2,1,2,2,3
462,0,4,2,2,1,0,1,1,3
463,0,4,2,3,1,1,1,0,0
464,0,2,2,0,2,0,1,2,4
465,2,3,1,3,2,1,1,1,2
466,1,2,1,0,2,1,1,0,0
467,1,0,2,1,2,1,0,2,3
468,1,2,1,0,1,0,2,2,4
469,1,2,2,1,0,1,0,2,3
470,0,1,2,2,2,0,2,1,3
471,1,1,0,3,2,0,1,2,4
472,2,1,2,0,1,0,1,1,3
473,2,3,0,0,1,1,2,2,3
474,1,1,2,2,1,1,0,0,0
475,1,2,0,3,0,1,0,2,4
476,1,0,0,1,0,1,0,0,0
477,0,2,2,0,1,0,1,2,4
478,1,1,0,0,0,1,0,1,4
479,0,2,2,0,1,0,2,2,4
480,0,4,0,2,1,1,0,1,4
481,2,1,2,1,0,0,1,1,3
483,0,2,2,1,2,0,2,2,4
484,0,3,2,0,2,1,2,2,3
485,2,0,2,2,1,1,1,2,4
486,0,3,2,3,0,1,2,1,3
487,0,2,1,0,1,0,2,1,4
488,1,1,1,2,0,1,0,2,4
489,2,1,1,2,1,1,2,2,4
490,2,2,1,3,1,1,0,0,0
491,2,1,1,2,2,1,1,2,3
492,0,3,2,0,0,0,2,1,3
493,2,2,2,3,0,1,0,1,3
495,1,3,2,0,1,0,0,1,3
496,2,1,2,2,1,1,2,0,0
497,2,3,0,3,2,1,1,1,2
498,0,2,0,0,1,1,2,2,4
499,2,0,1,1,1,0,1,2,4
500,0,4,2,2,1,0,1,0,0
501,2,0,2,0,2,1,1,1,3
502,2,0,0,0,2,0,0,1,4
503,1,3,1,3,0,1,2,0,0
504,2,1,0,3,0,1,0,1,4
505,2,3,0,3,1,0,2,0,0
506,1,2,2,2,0,0,1,2,4
507,2,0,2,2,0,0,2,0,0
508,1,2,2,2,2,1,2,2,3
509,0,1,2,3,1,0,2,1,4
510,0,1,1,0,1,0,2,2,4
511,1,3,2,3,0,1,2,1,3
512,2,4,1,2,2,1,1,1,2
513,1,4,0,3,0,0,1,1,3
514,2,4,2,1,2,0,0,0,0
515,2,2,2,0,0,1,2,0,0
516,1,2,1,0,0,0,1,0,0
517,2,0,2,0,0,0,2,1,4
518,0,0,1,1,0,0,0,0,0
519,0,2,2,1,0,1,2,2,4
520,2,3,2,3,1,1,2,2,3
521,2,4,0,1,0,0,1,2,3
522,2,3,1,0,0,1,1,0,0
523,2,1,1,0,1,0,0,2,4
524,1,4,2,2,1,0,2,0,0
525,1,0,1,0,0,0,1,2,4
526,1,3,0,0,0,1,2,2,3
527,1,0,2,3,2,1,2,1,3
528,2,2,1,1,0,1,2,1,3
529,0,0,2,3,1,1,0,1,4
530,0,3,0,0,1,0,1,2,4
531,2,3,1,2,0,1,0,2,3
532,2,1,0,0,0,1,1,0,0
533,1,0,2,0,0,1,1,0,0
534,1,2,2,3,1,0,0,1,4
535,0,2,2,1,0,0,0,0,0
536,1,0,0,0,0,0,1,0,0
537,2,1,1,2,2,0,2,2,4
538,1,2,2,2,2,1,0,0,0
539,2,4,2,2,0,1,1,1,3
540,2,2,2,0,1,1,0,1,3
541,2,3,0,1,2,0,1,1,2
542,2,2,0,2,0,1,1,2,3
543,0,0,0,1,0,1,1,2,4
544,1,4,2,3,0,1,2,0,0
545,1,1,0,0,1,0,1,2,4
546,0,3,2,3,2,0,1,0,0
547,2,1,1,3,2,0,1,1,3
548,0,1,0,3,2,1,0,0,0
549,2,3,2,0,2,0,0,1,3
550,2,2,2,3,1,0,1,0,0
551,1,1,1,0,0,1,2,1,4
552,2,3,2,0,2,1,2,0,0
553,0,2,1,2,0,0,1,0,0
554,0,0,1,0,0,1,0,0,0
555,1,2,0,2,2,1,1,1,3
556,1,0,2,2,1,1,0,1,4
557,1,0,2,1,1,0,2,2,4
558,0,4,2,0,1,1,1,2,4
559,0,4,0,0,1,0,0,1,4
560,0,0,2,3,0,1,2,1,4
561,0,2,2,1,1,0,0,0,0
562,1,4,1,1,0,0,0,0,0
563,1,3,0,0,1,0,1,0,0
564,0,2,0,1,2,1,1,0,0
565,2,3,1,3,0,1,1,0,0
566,1,1,2,3,1,0,1,0,0
567,2,2,2,0,2,0,1,2,3
568,2,2,2,3,2,1,0,0,0
569,0,1,2,0,2,1,2,0,0
570,0,3,2,3,1,1,1,0,0
571,0,4,2,3,1,1,0,2,4
572,2,2,1,1,2,1,2,1,2
573,0,4,2,0,1,1,2,2,4
574,0,0,2,0,2,1,1,1,3
575,1,0,0,0,1,1,1,2,4
576,2,3,2,3,2,1,2,2,3
577,2,2,0,1,2,0,2,2,3
578,1,0,2,0,0,0,2,2,4
579,2,3,1,0,1,1,1,2,3
580,1,3,0,3,0,1,1,1,3
581,1,2,1,0,1,1,0,1,4
582,2,3,2,1,0,0,0,0,0
583,0,0,2,2,1,0,2,1,3
584,1,4,0,0,1,0,2,2,3
585,2,3,1,0,1,1,0,1,3
586,2,3,0,0,1,1,2,0,0
587,0,4,2,1,2,1,1,2,3
588,1,2,2,1,0,1,0,1,4
589,0,2,0,3,1,0,1,1,4
590,0,0,2,2,0,1,0,2,4
591,2,2,2,0,2,1,2,0,0
592,0,2,1,3,0,0,0,0,0
593,1,1,0,2,0,0,2,0,0
594,1,0,2,2,1,0,2,0,0
595,0,3,1,0,1,1,0,1,4
596,2,4,2,2,0,1,2,2,3
597,0,3,1,2,2,1,1,2,3
598,2,4,0,0,1,1,0,1,3
599,1,0,2,2,0,1,2,1,4
600,0,1,2,1,0,1,2,1,4
601,2,4,2,0,2,1,0,1,3
602,0,4,2,2,0,0,1,2,4
603,0,1,2,2,2,1,2,1,3
604,0,1,1,2,0,1,1,0,0
605,1,1,1,2,0,1,0,0,0
606,0,4,1,0,2,0,0,0,0
607,2,0,1,0,0,1,2,2,4
608,1,4,2,2,2,1,2,0,0
609,0,4,2,1,0,1,1,0,0
610,1,4,2,1,2,0,1,0,0
611,1,3,2,2,2,0,1,0,0
612,2,3,2,0,1,0,0,1,3
613,0,2,0,3,2,1,0,2,4
614,1,4,0,2,1,1,1,0,0
615,1,0,2,3,0,0,1,1,4
616,1,4,0,0,1,0,2,1,3
617,1,4,2,2,2,1,1,0,0
618,1,3,0,2,0,0,1,1,3
619,2,2,0,0,1,1,2,0,0
620,1,1,2,2,2,1,2,1,3
621,2,2,2,1,2,0,1,1,2
622,1,4,2,1,2,1,2,1,2
623,1,3,0,3,2,1,1,0,0
624,2,4,1,3,2,1,2,1,2
625,1,1,0,2,1,1,0,2,4
626,1,1,2,1,0,1,1,1,4
627,2,1,2,1,0,0,2,1,3
628,0,4,0,3,0,0,1,0,0
629,1,2,1,1,2,1,1,1,3
630,0,1,2,3,0,1,1,0,0
631,0,0,2,3,2,0,2,1,4
632,0,1,0,0,1,1,0,1,4
633,1,0,0,0,1,0,0,1,4
634,1,2,2,2,0,1,1,1,3
635,2,3,2,0,0,0,2,0,0
636,2,4,2,1,1,0,2,2,3
637,0,4,0,3,0,0,1,1,3
638,2,0,2,1,1,0,2,0,0
639,1,3,2,0,2,1,0,2,3
640,0,2,1,2,2,1,0,1,4
641,0,4,2,0,2,0,0,0,0
642,2,3,0,0,1,0,2,2,3
643,1,4,2,3,1,1,2,0,0
644,2,3,2,2,2,0,2,1,2
645,0,4,2,3,2,0,0,2,4
646,1,4,2,2,0,1,2,1,3
647,2,1,1,3,2,0,2,2,4
648,2,0,1,3,1,1,0,0,0
649,2,4,0,2,1,1,2,0,0
650,2,2,0,3,2,1,1,2,3
651,2,0,1,1,0,0,1,2,4
652,1,3,2,1,1,1,2,0,0
653,2,4,1,3,1,0,1,2,3
654,0,0,2,3,0,0,1,0,0
655,2,2,2,1,0,0,1,1,3
656,2,2,2,2,0,1,2,0,0
658,1,0,1,1,2,0,0,2,4
659,1,1,0,0,2,0,0,2,4
660,0,0,0,0,2,1,1,0,0
661,0,2,2,2,2,1,1,1,3
662,2,3,2,1,1,0,0,2,3
663,2,4,0,2,2,0,1,0,0
664,1,1,2,2,2,1,1,2,4
665,0,0,0,1,2,1,0,0,0
666,2,1,1,1,2,0,1,0,0
667,1,1,2,2,2,0,0,0,0
668,2,3,1,3,2,1,1,0,0
669,1,0,0,3,1,0,1,2,4
671,1,3,2,0,1,0,1,0,0
672,2,2,2,1,1,0,1,0,0
673,1,2,2,0,1,0,1,2,4
674,0,0,1,3,1,0,0,1,4
675,0,0,2,2,2,1,2,1,3
676,2,0,1,0,0,0,1,1,4
677,0,3,0,0,2,0,2,1,3
678,2,2,2,3,0,0,0,0,0
679,2,1,2,1,2,1,2,1,3
680,2,2,2,2,1,1,2,2,3
681,0,2,0,3,1,1,2,2,4
682,0,0,0,1,0,0,1,1,4
683,1,3,2,1,1,0,1,0,0
684,0,4,2,1,2,1,2,2,3
685,1,1,1,3,2,0,1,1,4
686,0,2,2,3,2,1,0,1,4
687,2,2,0,0,0,0,0,0,0
688,2,1,2,0,1,1,2,1,3
689,2,1,2,1,0,1,1,1,3
690,0,0,2,3,1,0,0,1,4
691,2,3,2,1,2,1,1,2,3
692,2,2,1,0,0,1,1,0,0
693,1,0,2,1,2,1,0,1,4
694,1,4,2,3,1,0,1,0,0
695,0,0,0,0,0,0,0,0,0
696,0,0,1,2,1,1,0,1,4
697,2,0,2,1,1,1,1,1,3
698,1,2,1,0,2,0,2,0,0
699,0,3,0,0,2,0,2,0,0
700,2,4,2,3,1,0,0,0,0
701,0,1,2,0,1,1,2,0,0
702,2,1,0,1,0,1,2,1,3
703,1,4,1,2,1,1,1,1,3
704,1,1,2,3,0,0,2,0,0
